isin,year,Scope 1,Scope 2 (location based),Scope 2 (market based),Scope 3 (total),Scope 3 (cat 1),Scope 3 (cat 2),Scope 3 (cat 3),Scope 3 (cat 4),Scope 3 (cat 5),Scope 3 (cat 6),Scope 3 (cat 7),Scope 3 (cat 8),Scope 3 (cat 9),Scope 3 (cat 10),Scope 3 (cat 11),Scope 3 (cat 12),Scope 3 (cat 13),Scope 3 (cat 14),Scope 3 (cat 15),CountryName
SG1R95002270,2015,337,217888,233993,284375,16906,44369,94069,135293,12820,266400,204152,146405,130891,254368,55250,187637,422,253711,101869,SINGAPORE
SG1R95002270,2016,352,121117,119509,97622,51998,284207,93568,168815,126744,186312,23151,264367,150946,124892,146434,268671,59820,240017,102360,SINGAPORE
SG1R95002270,2017,393,287905,253207,3677,37934,263543,59876,173802,82513,235922,171179,247505,151500,73208,211672,144711,171335,245750,144529,SINGAPORE
SG1R95002270,2018,443,252887,242247,22786,103449,9394,260387,215205,188744,87741,222851,87199,38838,226222,94131,225742,195011,101803,279272,SINGAPORE
SG1R95002270,2019,381,130607,270254,237941,152040,152031,91120,257702,72228,281209,95149,276388,34896,197078,158413,284568,201768,126614,37249,SINGAPORE
SG1R95002270,2020,342,79706,57739,108423,1358,2487,252515,194896,283681,252900,145619,48014,184743,18117,2923,242284,168787,44561,139610,SINGAPORE
SG1R95002270,2021,314,41336,274821,108396,60209,186108,280520,251315,154394,143014,2905,111123,77244,14924,253244,198649,264955,267713,47509,SINGAPORE
SG1R95002270,2022,311,201236,237489,278113,159361,150657,51482,181972,245702,275892,174030,251359,226505,243374,282219,14976,261544,64978,72788,SINGAPORE
SG1R95002270,2023,315,73818,272813,228687,30688,168462,163048,272992,10828,271386,96857,238832,141542,211221,66131,156168,19894,92907,109617,SINGAPORE
US86646P1030,2013,313,246401,46780,275749,903,71062,87305,53991,163964,136674,145139,79479,23173,125190,217338,174029,223832,235781,156609,UNITED STATES
US86646P1030,2014,351,174022,174534,23949,133539,267145,81575,103707,65081,49857,239296,221153,224375,86349,138855,96043,200492,12911,74787,UNITED STATES
US86646P1030,2015,397,55525,157542,174462,242602,70628,216190,222401,120913,132914,244313,249732,53328,104809,142432,124421,118081,24192,87651,UNITED STATES
US86646P1030,2016,416,272990,98765,276207,5894,195701,73480,123700,175867,26328,149620,176826,124079,177687,127814,210534,1640,283871,13227,UNITED STATES
US86646P1030,2017,376,73003,215077,108737,210047,158759,160566,253477,237138,58068,85451,238006,90907,250706,131581,133869,13440,43987,172549,UNITED STATES
US86646P1030,2018,390,115852,264134,222179,25751,46957,179245,193301,36670,219878,141969,232221,12292,184861,210995,198114,157552,48038,23595,UNITED STATES
US86646P1030,2019,357,49719,140942,70345,217086,25363,97344,164482,244637,30163,37283,165943,118507,272174,134782,116476,230249,190545,26702,UNITED STATES
US86646P1030,2020,322,188261,202670,100758,114504,38777,53539,82305,27802,251476,269980,198967,86116,89346,62935,106523,259250,163355,148422,UNITED STATES
US86646P1030,2021,362,225265,224467,228787,251004,171229,237750,142125,142880,175540,166798,175276,61567,257473,145185,246201,140638,128722,190638,UNITED STATES
US86646P1030,2022,373,146653,124954,13459,223813,123304,30839,73176,242010,110702,219580,147460,33109,57174,193545,172900,227206,240146,75830,UNITED STATES
US86646P1030,2023,327,7887,241838,196562,16917,29659,79134,111667,270991,84826,215214,57734,59069,219668,218864,145360,268516,287622,275078,UNITED STATES
IE0033024807,2013,311,152690,30222,269287,274510,77099,241983,249974,210315,28333,276295,22131,220410,202509,122602,267525,284561,254378,23608,IRELAND
IE0033024807,2014,353,131289,225124,96825,169092,41925,128913,168436,280844,137119,7216,119399,228197,193624,232634,101799,4094,72152,266554,IRELAND
IE0033024807,2015,327,7367,241895,155933,79134,255880,84035,89439,285782,259771,31961,51504,131135,142437,90318,166259,119597,214219,77393,IRELAND
IE0033024807,2016,290,184190,265954,143394,238364,144184,283644,25083,127565,283051,250726,2466,178548,232285,10667,186660,47780,262565,209488,IRELAND
IE0033024807,2017,315,176986,253638,36741,179299,45511,159392,40054,7036,174175,156098,184434,217926,27866,56663,214994,15397,86844,96934,IRELAND
IE0033024807,2018,318,35615,76254,204957,8907,247202,210088,52192,75095,81384,108028,31021,65238,110210,211534,32978,195636,40879,266454,IRELAND
IE0033024807,2019,345,223296,155860,23556,80309,228430,23256,37517,44960,42401,247355,83863,41991,148838,151427,22637,104166,121509,91502,IRELAND
IE0033024807,2020,383,35288,238692,73760,262010,252243,262617,241472,217917,45476,137196,10085,221005,155349,53356,214196,223075,135458,63318,IRELAND
IE0033024807,2021,350,194018,182210,52048,146443,218887,86314,259583,50108,269012,47025,50422,209815,95211,94525,33142,94799,151126,143851,IRELAND
IE0033024807,2022,387,278939,133583,44605,239971,128494,142763,155132,172685,198325,278841,209775,38615,120529,98388,277717,174616,62864,71471,IRELAND
IE0033024807,2023,391,135764,64405,145081,39943,280691,231290,33065,160548,62493,15654,270713,248349,269065,248525,90635,71842,25964,42205,IRELAND
US26701L1008,2013,308,264877,217123,168199,257202,80461,273883,169626,114546,216504,134498,111063,94891,30793,167524,288390,43608,285415,192937,UNITED STATES
US26701L1008,2014,339,169961,147338,197863,96893,274686,218053,80785,129271,148582,121502,265118,35473,60708,11243,248656,166688,259152,124822,UNITED STATES
US26701L1008,2015,311,195067,140090,143014,109329,35356,65471,30944,139240,120387,117513,156575,222795,80921,184843,71517,233218,136111,172320,UNITED STATES
US26701L1008,2016,344,57078,154902,259921,277440,140978,122167,65529,163203,128824,92718,268552,120185,49363,5667,191016,195608,44302,201414,UNITED STATES
US26701L1008,2017,373,169410,205157,9505,73752,267514,183506,41030,248065,56073,146579,204186,251041,158406,40546,41404,67935,138365,33885,UNITED STATES
US26701L1008,2018,342,153600,6165,225140,284077,74369,13216,200032,160341,160810,99186,175062,125433,142975,21497,93771,93976,275546,229933,UNITED STATES
US26701L1008,2019,376,279293,104793,104709,131090,36746,130394,186637,99239,268338,91596,95257,150324,215880,220744,17383,233477,173966,175068,UNITED STATES
US26701L1008,2020,326,276987,125240,53628,28338,109815,241670,63134,44316,137454,55069,210851,24405,281426,267319,287467,267924,30767,50614,UNITED STATES
US26701L1008,2021,301,189781,198748,185595,128674,185919,119497,11702,147835,251997,277496,159010,117241,287877,260450,127793,107856,55534,74445,UNITED STATES
US26701L1008,2022,322,138826,26943,287276,2036,160335,19977,92674,151543,28260,187353,30381,64987,150768,271885,186784,184003,70750,286438,UNITED STATES
US26701L1008,2023,295,166368,72769,270096,29612,50801,171377,206881,196994,28990,237806,207211,37248,2642,253861,101591,151089,32300,1492,UNITED STATES
US36116M1062,2013,323,206736,255597,78563,209044,25403,28034,222011,169294,260066,4215,117851,139488,182304,128037,239338,257941,265306,75940,UNITED STATES
US36116M1062,2014,297,40436,240411,33924,42708,134296,186837,2909,244434,107115,17297,22891,1779,255288,68400,128605,187062,36226,186160,UNITED STATES
US36116M1062,2015,296,228962,146920,136159,158501,229646,46668,23091,204016,190889,277038,114668,45512,223385,253075,106268,13997,179749,76792,UNITED STATES
US36116M1062,2016,330,281056,263573,279681,121166,242718,84101,286620,164147,29863,131464,31346,272545,212752,119728,35360,186009,272526,12196,UNITED STATES
US36116M1062,2017,295,197997,52147,130000,82379,158241,183214,80981,203329,282098,47609,210082,199886,180578,203677,212745,200784,87251,193470,UNITED STATES
US36116M1062,2018,331,146612,229084,224505,93001,87478,159509,57478,66576,271741,109323,230041,118876,109068,178825,130648,149749,146837,145898,UNITED STATES
US36116M1062,2019,326,213669,232957,146301,101670,151601,146550,20034,194519,122206,112815,61782,157181,1312,143529,47140,260956,275676,45841,UNITED STATES
US36116M1062,2020,356,137342,167217,125589,21949,244986,212783,227716,117845,176325,21469,264289,280031,13747,49691,234289,93130,150803,193542,UNITED STATES
US36116M1062,2021,330,146612,265657,112224,282686,20120,28217,148976,58021,251048,274836,23101,234710,30936,258783,213763,138714,176025,80381,UNITED STATES
US36116M1062,2022,326,187050,189047,190244,83582,273923,271718,58738,255469,234994,77438,224517,288525,2037,259316,74538,105086,54579,65359,UNITED STATES
US36116M1062,2023,354,80822,60868,73688,107749,212565,159062,170544,218209,86442,177400,266062,87361,159955,237994,208319,233345,231907,198724,UNITED STATES
US3846371041,2013,293,262617,45331,109841,8962,216894,144918,92046,172299,241656,36255,12453,135906,138087,204865,146956,89347,259525,90587,UNITED STATES
US3846371041,2014,332,209800,99523,137832,225628,284354,104580,37710,59843,72377,58653,91083,284688,234236,187840,80626,184158,144147,68450,UNITED STATES
US3846371041,2015,334,53089,113960,128701,139507,229596,181155,69834,157092,164581,43086,271353,215420,97822,120788,53940,236225,6236,284781,UNITED STATES
US3846371041,2016,318,162624,28774,158955,8441,201559,284917,187602,80028,75220,52755,113032,250292,185391,105786,148933,146776,256554,13303,UNITED STATES
US3846371041,2017,349,195027,117217,173627,226773,279520,114469,119245,85943,114365,110202,126704,115467,54934,94625,16610,192794,238772,46322,UNITED STATES
US3846371041,2018,399,157095,139647,188785,269299,13965,151493,9503,214405,2138,229482,56960,119008,212284,89856,42757,15690,206601,254014,UNITED STATES
US3846371041,2019,368,107234,94967,117312,602,15957,246379,83811,174710,239242,172922,70749,193657,234617,86252,27855,240517,211096,280639,UNITED STATES
US3846371041,2020,343,37288,119561,173752,94873,28586,221974,186133,87327,218919,158695,19917,241858,155173,138772,250962,62064,84647,151941,UNITED STATES
US3846371041,2021,387,239992,198194,116451,193533,233194,216461,35631,23114,222210,141858,274303,124099,203192,10979,146478,87669,121386,221837,UNITED STATES
US3846371041,2022,383,182287,101740,135599,53698,226274,241949,112729,100422,98111,155314,118247,94253,56379,128711,114546,71175,229125,252695,UNITED STATES
US3846371041,2023,353,194002,159006,76760,131852,35043,216596,232360,251660,201477,244672,15893,10101,203779,185501,182274,9189,177552,121719,UNITED STATES
KYG126521064,2013,327,204145,179444,286826,258588,173210,284701,198369,69261,94737,6596,88743,31531,82042,210037,252091,121978,92418,185729,CAYMAN ISLANDS
KYG126521064,2014,375,119022,27360,258422,5046,128243,98237,83995,224758,20882,140875,147409,133622,95323,150149,122181,251614,165373,274369,CAYMAN ISLANDS
KYG126521064,2015,348,267164,215365,270324,207581,213761,88292,169164,14589,86663,4697,207813,237324,237615,287078,210097,278922,36708,112963,CAYMAN ISLANDS
KYG126521064,2016,400,69884,143332,281470,86911,44635,52948,182775,270293,48352,55747,75321,274338,82474,285327,265881,178025,177301,29616,CAYMAN ISLANDS
KYG126521064,2017,370,115840,57678,152999,212213,160779,159891,138911,253526,253426,104730,116235,161465,36191,262749,156734,36580,84894,93293,CAYMAN ISLANDS
KYG126521064,2018,391,64619,273357,244159,126363,231820,181771,40588,171438,137952,267992,238106,102016,90238,223079,264283,263196,75390,183950,CAYMAN ISLANDS
KYG126521064,2019,378,4568,44328,152952,252164,273006,156449,199854,33172,37586,167581,84735,190634,105877,131200,40471,207273,222178,163505,CAYMAN ISLANDS
KYG126521064,2020,334,210409,249933,136322,259221,82321,278105,71445,253311,275001,104072,160763,171678,267103,232815,85493,71287,271483,188044,CAYMAN ISLANDS
KYG126521064,2021,334,221999,207515,91019,203260,20191,271217,214949,238209,230102,148360,70268,35846,222498,180980,229786,118358,25705,171455,CAYMAN ISLANDS
KYG126521064,2022,339,132407,81509,100257,181542,103301,205211,194471,138586,27898,153209,48642,170417,276794,29970,147384,20602,53348,213076,CAYMAN ISLANDS
KYG126521064,2023,370,143902,139279,104176,83476,38671,169088,89802,159355,112383,19829,251638,2913,57933,141189,276545,155218,35327,79576,CAYMAN ISLANDS
JP3125800007,2013,323,129021,146303,146283,131931,288399,35524,219146,271206,104961,50622,288453,136831,175630,204817,64057,92818,20489,225284,JAPAN
JP3125800007,2014,333,278410,190231,137902,61399,103679,185103,21685,10310,164223,221337,272747,175357,179142,264257,167395,194354,175681,230890,JAPAN
JP3125800007,2015,294,114033,67809,240269,125688,225408,181286,249536,249403,145308,41886,31021,239565,254752,147244,136860,262270,35279,28436,JAPAN
JP3125800007,2016,298,60851,229370,275784,103975,276120,256470,162213,286873,73162,114272,98168,140162,252606,13618,216077,157603,97435,147579,JAPAN
JP3125800007,2017,305,51038,80100,114273,68759,248200,59262,196708,30277,259359,225882,263925,135542,273610,172527,284258,59479,111316,33100,JAPAN
JP3125800007,2018,334,100825,7788,222624,53412,217113,44669,137131,107459,154500,270206,68372,27796,251184,99500,79577,221373,59344,112138,JAPAN
JP3125800007,2019,291,96596,8200,86252,118543,279775,164629,220237,59090,196156,157028,135368,2635,25670,224359,232023,224304,256723,82584,JAPAN
JP3125800007,2020,334,274442,193916,200768,181807,115542,61571,161991,2997,76602,198841,29501,206024,186289,177867,161353,103236,152638,66027,JAPAN
JP3125800007,2021,351,63878,211628,154933,193235,175685,95894,34441,108628,144270,28915,148159,62555,171828,6468,236638,128854,134859,129152,JAPAN
JP3125800007,2022,358,29903,236685,230430,73792,286477,136558,49846,51041,140229,143287,80697,164258,186955,68950,59815,221300,108994,136866,JAPAN
JP3125800007,2023,358,154936,31208,285750,166122,147978,237020,261329,23984,83565,249926,48715,119386,240129,7841,200909,238110,192213,120899,JAPAN
US23821D1000,2013,317,52189,187892,254759,52128,226190,131365,180181,84145,163320,64608,176487,125188,276904,268013,173273,207048,166003,152492,UNITED STATES
US23821D1000,2014,321,239838,169979,209996,146443,47872,5587,88597,91977,16115,47657,251875,112440,2141,136925,221134,280561,262935,124818,UNITED STATES
US23821D1000,2015,313,280800,9677,217642,77968,276082,156096,233212,272469,14658,14530,201080,133333,254582,148974,63967,149802,176639,162953,UNITED STATES
US23821D1000,2016,299,196239,283957,189655,23427,38487,220357,77084,196604,265811,287833,90859,169878,91754,32121,177997,175986,79798,1460,UNITED STATES
US23821D1000,2017,337,165854,271479,264687,173570,265251,161153,81524,191049,106261,111355,193756,240327,145980,279957,77993,163939,121361,213182,UNITED STATES
US23821D1000,2018,367,202590,165419,209839,222854,233348,123154,229599,218459,194073,10368,11119,98204,259311,166338,221445,176011,214174,16556,UNITED STATES
US23821D1000,2019,328,21834,193310,211494,175412,168052,143570,170521,200530,255237,4389,188165,281324,34801,79295,265163,243677,63658,106636,UNITED STATES
US23821D1000,2020,322,82894,243577,127291,102666,272064,161271,9829,63365,100472,110440,110103,134954,124009,20768,164863,239833,280294,240220,UNITED STATES
US23821D1000,2021,344,8638,157528,95197,220801,147291,228254,3665,253072,133868,76348,194548,174358,281072,261151,246171,6418,236743,148707,UNITED STATES
US23821D1000,2022,368,27119,203581,76572,118127,28841,145410,95708,8493,103197,258710,225975,34596,19317,286252,215464,43459,117596,146698,UNITED STATES
US23821D1000,2023,406,275097,254548,213510,159249,204009,193369,95245,219234,141551,120892,75330,282546,260343,75636,101893,217556,178129,66260,UNITED STATES
INE238A01034,2013,322,99020,150274,153416,42113,4339,17788,156100,46821,202435,65100,194747,225672,67005,143390,251321,167056,144489,74183,INDIA
INE238A01034,2014,331,210961,244406,267330,6356,158504,158706,284135,166380,121148,120720,180543,133783,229786,67829,51611,175458,187744,269995,INDIA
INE238A01034,2015,331,248693,161673,217009,133470,214238,50394,281179,103211,264806,36022,144661,59817,7951,259272,266389,146395,263109,58665,INDIA
INE238A01034,2016,357,227030,141826,188140,184738,224550,92635,38587,231801,271413,56329,229274,275748,215227,251842,75034,74008,232732,224234,INDIA
INE238A01034,2017,409,183294,239843,80933,37119,123622,70725,122599,162935,18619,268658,132655,154991,133358,281653,68295,48848,287038,140266,INDIA
INE238A01034,2018,391,65820,107189,191714,69775,172887,34732,165503,48142,138401,21661,151236,216510,58429,56495,196685,129054,135390,222351,INDIA
INE238A01034,2019,434,154392,201955,202891,239499,46785,103096,277956,222782,25487,268465,172243,36152,241079,40368,256477,178552,19309,98468,INDIA
INE238A01034,2020,443,5765,212185,268785,33491,228679,191682,63908,152882,262387,170999,61214,145767,149389,248317,10400,192444,242005,53134,INDIA
INE238A01034,2021,448,258190,35569,133400,38776,24374,250001,264426,92496,127113,251519,191939,134754,31829,10998,123016,4987,18870,99105,INDIA
INE238A01034,2022,472,258058,199098,194756,240869,142760,132932,1813,235953,275971,207753,30063,168537,214217,26082,28145,189146,87496,226946,INDIA
INE238A01034,2023,413,247008,76899,159122,140947,272533,234964,39684,67952,268639,72103,11482,225125,53528,233959,112047,146573,156051,36501,INDIA
KR7271560005,2013,313,22871,248551,236122,264162,199384,267531,281572,90492,186477,254188,273342,115206,186819,109608,78796,106634,38784,257680,"KOREA, REPUBLIC OF"
KR7271560005,2014,302,173240,97418,42809,217137,249484,256934,170866,167610,158399,22797,93474,266496,287622,179311,209627,203538,150626,281165,"KOREA, REPUBLIC OF"
KR7271560005,2015,320,2246,37145,158320,72145,200816,189962,704,156207,6513,258818,251335,46596,82115,74449,247291,4450,25309,283178,"KOREA, REPUBLIC OF"
KR7271560005,2016,341,50713,41300,182067,276723,129492,227702,184370,16906,240360,273936,143281,74182,154943,342,40733,167969,98595,14675,"KOREA, REPUBLIC OF"
KR7271560005,2017,333,21210,172948,167698,55898,142811,151828,82966,50763,181142,161206,40898,251448,226262,85899,16782,138198,95197,100121,"KOREA, REPUBLIC OF"
KR7271560005,2018,347,246420,137202,57233,121898,104831,129694,205246,100236,172348,91806,26778,116135,261182,37485,175500,5458,67302,157506,"KOREA, REPUBLIC OF"
KR7271560005,2019,309,198182,285491,89341,25150,133232,146966,264830,14629,102836,85024,235187,272456,183399,111140,128518,134588,63923,242822,"KOREA, REPUBLIC OF"
KR7271560005,2020,304,167831,102962,26471,35724,79939,82659,221430,48282,231158,10353,145702,203235,74354,276067,31377,119112,73548,18569,"KOREA, REPUBLIC OF"
KR7271560005,2021,329,186507,36269,89966,80914,256590,207600,270812,46602,233084,158631,209283,78645,161858,288298,276918,24232,237608,89233,"KOREA, REPUBLIC OF"
KR7271560005,2022,293,157730,177747,178288,2314,40621,279736,8474,147996,101687,183155,284786,274755,233623,249319,168465,67899,240716,144799,"KOREA, REPUBLIC OF"
KR7271560005,2023,334,49491,230909,83869,142017,99619,214231,104312,207645,72291,153464,6967,60948,251584,287464,102730,14354,219236,196856,"KOREA, REPUBLIC OF"
US2227955026,2013,329,152540,88676,287621,97158,261255,135178,75567,197046,31532,133921,38087,47057,19327,144627,107799,203133,250234,132328,UNITED STATES
US2227955026,2014,323,83582,271133,264495,198291,206621,149195,153980,85805,251706,180622,14315,278693,203946,62692,3254,9510,155695,62857,UNITED STATES
US2227955026,2015,329,33936,111686,33038,139955,864,258040,132573,137498,189460,49143,159675,277382,25281,202755,225328,110551,53299,20429,UNITED STATES
US2227955026,2016,362,122596,39959,106630,15383,204927,215706,155435,215337,211478,258421,209971,12041,7580,38650,79123,31327,82641,43892,UNITED STATES
US2227955026,2017,411,169927,41853,106983,91240,14869,245178,95735,83681,167418,244956,245475,236464,166315,92619,262287,7680,3267,192778,UNITED STATES
US2227955026,2018,451,214615,55417,256101,224125,37460,178095,19945,243046,90864,286275,240939,179558,238196,3169,211806,211333,281931,144425,UNITED STATES
US2227955026,2019,466,251238,227180,200053,162579,167399,274213,199790,172942,9557,148699,95489,118475,140891,1483,157363,113060,98849,266389,UNITED STATES
US2227955026,2020,516,132034,189974,204064,175953,240342,32857,120419,88525,239833,228572,160843,185708,51021,178658,58948,143984,113718,132532,UNITED STATES
US2227955026,2021,445,1748,46736,138310,163773,124776,186932,233720,88292,270387,188988,90821,234275,254595,268240,288395,117711,208750,284936,UNITED STATES
US2227955026,2022,500,157482,120882,100802,113027,92969,26656,214936,196593,143231,285378,127046,155296,116926,78231,192471,29065,15050,90713,UNITED STATES
US2227955026,2023,558,278129,87543,13885,94127,170666,245907,72777,270524,8910,205008,134968,57116,167570,94620,37593,138101,187160,190924,UNITED STATES
US92243A2006,2013,322,65861,26804,209882,14454,56643,269384,33156,251777,227635,236749,46105,260619,67166,6156,31638,44985,31120,266001,UNITED STATES
US92243A2006,2014,365,51104,76262,200742,245662,221879,151014,255075,83441,234021,141353,48900,217068,67973,275932,155457,179716,34401,71602,UNITED STATES
US92243A2006,2015,419,156175,31036,244622,223380,64244,17606,232945,246218,93599,108008,179885,193450,107689,249467,129047,254368,127237,13115,UNITED STATES
US92243A2006,2016,422,8619,61958,270680,22900,269048,103792,263536,31542,285760,89273,128314,179539,146069,226288,61951,43974,121358,153430,UNITED STATES
US92243A2006,2017,481,270176,275035,124010,87385,66081,267532,239644,273702,246457,126009,201367,261872,220183,186791,112709,87413,73367,91862,UNITED STATES
US92243A2006,2018,445,153547,28667,178805,178353,70137,265451,194046,227480,84914,204421,13345,273772,178200,265445,161345,79108,266224,38785,UNITED STATES
US92243A2006,2019,418,256468,73614,187283,209781,25948,12933,79519,241994,69465,143477,214894,229749,56790,194108,224015,22536,30935,32374,UNITED STATES
US92243A2006,2020,368,23632,152033,110910,87125,39153,127498,81467,75133,41525,112642,153619,133074,88544,205651,116059,276994,248565,56645,UNITED STATES
US92243A2006,2021,416,41031,207018,37705,239340,244996,227630,171112,26884,81560,163570,85371,202446,137531,157192,185265,28516,204898,234331,UNITED STATES
US92243A2006,2022,414,46459,212082,69399,87531,286632,205966,32122,177922,69392,106471,24939,248190,240354,24064,227381,75954,83383,91969,UNITED STATES
US92243A2006,2023,473,240044,286313,41834,95448,193921,29355,200497,44300,66470,284553,222852,80664,92512,180885,175020,236036,102248,148184,UNITED STATES
MYL2089OO000,2013,319,57669,146732,235081,34469,141295,228021,213135,161303,102610,45468,31649,112728,243791,240717,269108,259530,100531,128175,MALAYSIA
MYL2089OO000,2014,337,279072,77933,158487,194219,136677,72911,63424,108290,151763,157866,95578,283404,54292,72063,267236,201074,53041,112355,MALAYSIA
MYL2089OO000,2015,313,151678,273614,97406,21331,269980,155727,84332,183165,270136,251270,238874,75220,170662,227932,265855,193685,49464,41993,MALAYSIA
MYL2089OO000,2016,349,287353,252917,230795,279723,77569,249158,165204,9162,279989,164249,116411,188570,58155,103078,116568,224090,151983,126129,MALAYSIA
MYL2089OO000,2017,328,155207,80215,232756,179546,267676,84625,192722,148668,136389,268535,32368,218349,126977,59071,228074,16572,47628,143441,MALAYSIA
MYL2089OO000,2018,363,97652,218493,79275,97301,207042,185980,1868,265729,246290,199839,147047,172260,95332,22189,284696,254354,68832,184748,MALAYSIA
MYL2089OO000,2019,319,43800,240245,233069,271108,230211,171564,286707,237622,168648,191468,256902,109803,190975,146047,212533,40469,264471,268980,MALAYSIA
MYL2089OO000,2020,308,127166,106215,87986,110150,52336,222750,127043,45314,43635,191946,64885,192516,80245,175443,269181,98712,224874,243265,MALAYSIA
MYL2089OO000,2021,322,137951,130706,67408,15262,68116,258097,11392,258954,271033,240276,282901,15497,213458,87377,187761,148556,64389,73673,MALAYSIA
MYL2089OO000,2022,326,111123,91207,92878,261608,13897,87268,9751,88530,233385,285702,141412,172844,14094,231407,114902,29340,156817,129796,MALAYSIA
MYL2089OO000,2023,366,268531,67672,102419,281546,40690,260042,230392,162587,228692,41005,55368,61489,226752,70373,111793,278569,61552,285698,MALAYSIA
US46565G1040,2013,313,142630,6962,185109,212466,6362,151452,270843,2635,265372,146579,244742,10613,30839,41659,162058,221214,62872,63742,UNITED STATES
US46565G1040,2014,297,29340,222011,198995,164620,209911,278956,207207,245383,21398,188016,143951,226625,62744,248230,267352,206457,275218,205292,UNITED STATES
US46565G1040,2015,296,201807,31692,192588,245440,45004,144156,254860,48144,250358,179481,261829,287348,218623,38178,111438,34577,99022,53955,UNITED STATES
US46565G1040,2016,308,30453,147444,242032,197183,209157,191616,46816,138730,110189,210719,237513,6664,185875,93072,150270,197830,130922,23401,UNITED STATES
US46565G1040,2017,332,245005,8948,238366,120888,117485,193603,242648,33236,136834,138102,111213,1136,181701,154863,195077,196311,116275,95713,UNITED STATES
US46565G1040,2018,342,55629,150073,207865,182012,102373,144920,155874,184863,174458,8512,140155,35244,34934,28844,134779,192564,103192,149651,UNITED STATES
